Time [s];Position [mm];Force [N]
0,001;0,0046;46,9599
0,002;0,0058;47,0302
0,003;0,0074;47,2074
0,004;0,0117;47,3174
0,005;0,0107;47,4513
0,006;0,0159;47,6251
0,007;0,0186;47,7661
0,008;0,0238;47,8997
0,009;0,0279;48,0636
0,01;0,0339;48,2525
0,011;0,0369;48,3299
0,012;0,039;48,5338
0,013;0,048;48,7287
0,014;0,0508;48,8666
0,015;0,0548;49,083
0,016;0,0618;49,2424
0,017;0,0651;49,3194
0,018;0,0727;49,5199
0,019;0,0751;49,7459
0,02;0,0814;49,8589
0,021;0,0881;49,8898
0,022;0,0938;49,9532
0,023;0,097;49,984
0,024;0,1049;50,0879
0,025;0,1086;50,1713
0,026;0,114;50,3291
0,027;0,1158;50,3819
0,028;0,125;50,3747
0,029;0,1302;50,5235
0,03;0,1385;50,6222
0,031;0,1404;50,8118
0,032;0,1466;50,8472
0,033;0,1517;51,0434
0,034;0,1545;51,1743
0,035;0,1594;51,2179
0,036;0,1674;51,2646
0,037;0,172;51,3253
0,038;0,1746;51,4904
0,039;0,1807;51,5244
0,04;0,1891;51,5671
0,041;0,1951;51,6655
0,042;0,1965;51,7112
0,043;0,2001;51,7722
0,044;0,208;51,9108
0,045;0,2117;51,9564
0,046;0,2165;52,1368
0,047;0,2249;52,1511
0,048;0,2275;52,2903
0,049;0,2323;52,3734
0,05;0,2364;52,542
0,051;0,2457;52,6344
0,052;0,2501;52,671
0,053;0,2525;52,7614
0,054;0,2604;52,7955
0,055;0,2603;52,9369
0,056;0,269;52,9481
0,057;0,2726;53,0697
0,058;0,2833;53,1073
0,059;0,2855;53,188
0,06;0,2855;53,3801
0,061;0,2973;53,3612
0,062;0,298;53,4921
0,063;0,3001;53,5605
0,064;0,309;53,6669
0,065;0,3144;53,8397
0,066;0,3129;53,8775
0,067;0,3222;54,0009
0,068;0,3305;54,01
0,069;0,3287;54,0986
0,07;0,3421;54,1842
0,071;0,3433;54,1708
0,072;0,3518;54,257
0,073;0,357;54,327
0,074;0,3582;54,3641
0,075;0,3659;54,4972
0,076;0,3687;54,5835
0,077;0,3728;54,6132
0,078;0,3808;54,7305
0,079;0,3848;54,7899
0,08;0,3899;54,8617
0,081;0,3921;54,9922
0,082;0,4018;55,0323
0,083;0,4076;55,0841
0,084;0,4133;55,2748
0,085;0,4155;55,2136
0,086;0,417;55,3436
0,087;0,4264;55,3559
0,088;0,4296;55,4676
0,089;0,4413;55,5158
0,09;0,4403;55,5353
0,091;0,4485;55,5741
0,092;0,452;55,593
0,093;0,4557;55,6673
0,094;0,4608;55,7221
0,095;0,4672;55,7845
0,096;0,4715;55,8406
0,097;0,4789;55,9043
0,098;0,4821;55,9803
0,099;0,4871;56,0259
0,1;0,4942;56,1913
0,101;0,4994;56,1646
0,102;0,498;56,2261
0,103;0,5069;56,2861
0,104;0,5108;56,2729
0,105;0,5192;56,3246
0,106;0,5243;56,3903
0,107;0,5245;56,4274
0,108;0,5292;56,4686
0,109;0,5356;56,4632
0,11;0,5458;56,5279
0,111;0,5456;56,6034
0,112;0,5514;56,6602
0,113;0,556;56,6962
0,114;0,5609;56,7975
0,115;0,5681;56,8682
0,116;0,5741;56,8792
0,117;0,5793;56,9787
0,118;0,5854;56,9776
0,119;0,5874;57,0611
0,12;0,5941;57,0836
0,121;0,5972;57,0894
0,122;0,6023;57,2125
0,123;0,6122;57,2547
0,124;0,6138;57,2863
0,125;0,6189;57,3438
0,126;0,6231;57,4288
0,127;0,6261;57,488
0,128;0,6346;57,4929
0,129;0,6394;57,632
0,13;0,6447;57,5601
0,131;0,6502;57,7015
0,132;0,6532;57,7668
0,133;0,6595;57,7534
0,134;0,6671;57,866
0,135;0,6708;57,8698
0,136;0,6744;57,9691
0,137;0,6823;57,9717
0,138;0,6839;58,0466
0,139;0,693;58,0614
0,14;0,6988;58,1007
0,141;0,6981;58,1152
0,142;0,7069;58,1509
0,143;0,7063;58,1716
0,144;0,7155;58,1701
0,145;0,7186;58,2997
0,146;0,7274;58,3142
0,147;0,7311;58,3813
0,148;0,7353;58,4016
0,149;0,7421;58,4754
