Time [s];Position [mm];Force [N]
0;0;61,035156
0,001;0,003;61,523438
0,002;0,003;61,035156
0,003;0,013;61,523438
0,004;0,038;62,5
0,005;0,076;62,011719
0,006;0,116;62,011719
0,007;0,158;62,5
0,008;0,158;62,988281
0,009;0,211;62,988281
0,01;0,273;62,988281
0,011;0,343;62,988281
0,012;0,413;63,476562
0,013;0,413;63,964844
0,014;0,481;63,476562
0,015;0,542;63,964844
0,016;0,593;63,964844
0,017;0,642;64,453125
0,018;0,698;64,941406
0,019;0,698;64,941406
0,02;0,765;64,453125
0,021;0,839;64,941406
0,022;0,921;65,429688
0,023;1,011;65,429688
0,024;1,104;65,429688
0,025;1,104;65,917969
0,026;1,198;65,429688
0,027;1,292;65,917969
0,028;1,375;66,40625
0,029;1,452;66,894531
0,03;1,531;66,40625
0,031;1,531;67,382812
0,032;1,619;66,894531
0,033;1,718;67,382812
0,034;1,822;67,382812
0,035;1,93;67,382812
0,036;1,93;67,871094
0,037;2,037;67,871094
0,038;2,138;67,871094
0,039;2,233;68,359375
0,04;2,324;68,359375
0,041;2,42;69,335938
0,042;2,42;69,335938
0,043;2,524;68,847656
0,044;2,628;69,824219
0,045;2,74;68,847656
0,046;2,852;69,335938
0,047;2,852;69,335938
0,048;2,965;70,3125
0,049;3,071;73,730469
0,05;3,17;69,824219
0,051;3,27;69,824219
0,052;3,375;70,3125
0,053;3,375;70,3125
0,054;3,486;74,21875
0,055;3,599;71,777344
0,056;3,712;70,800781
0,057;3,824;70,800781
0,058;3,932;71,289062
0,059;3,932;71,289062
0,06;4,038;71,289062
0,061;4,143;71,777344
0,062;4,252;71,777344
0,063;4,368;73,242188
0,064;4,368;72,265625
0,065;4,485;72,265625
0,066;4,598;72,753906
0,067;4,705;72,753906
0,068;4,81;77,148438
0,069;4,919;73,242188
0,07;4,919;73,242188
0,071;5,03;73,242188
0,072;5,143;73,242188
0,073;5,258;74,21875
0,074;5,373;73,730469
0,075;5,373;73,730469
0,076;5,486;74,21875
0,077;5,598;73,730469
0,078;5,706;74,707031
