Time [s];Position [mm];Force [N]
0;0;59,082031
0,001;0,004;59,570312
0,002;0,004;59,570312
0,003;0,018;60,058594
0,004;0,041;60,058594
0,005;0,073;60,058594
0,006;0,101;60,546875
0,007;0,126;61,035156
0,008;0,126;60,546875
0,009;0,152;61,035156
0,01;0,183;61,523438
0,011;0,214;61,523438
0,012;0,241;62,011719
0,013;0,269;61,523438
0,014;0,303;62,5
0,015;0,303;62,5
0,016;0,339;62,5
0,017;0,377;62,011719
0,018;0,415;62,5
0,019;0,458;62,988281
0,02;0,501;62,988281
0,021;0,501;62,988281
0,022;0,544;62,988281
0,023;0,586;62,988281
0,024;0,63;63,476562
0,025;0,675;64,453125
0,026;0,723;64,453125
0,027;0,723;64,453125
0,028;0,773;63,964844
0,029;0,824;64,453125
0,03;0,875;64,941406
0,031;0,925;68,847656
0,032;0,976;64,941406
0,033;0,976;64,941406
0,034;1,026;64,941406
0,035;1,077;65,429688
0,036;1,127;65,429688
0,037;1,18;65,429688
0,038;1,234;65,429688
0,039;1,234;65,429688
0,04;1,289;65,917969
0,041;1,343;65,917969
0,042;1,395;66,894531
0,043;1,447;66,894531
0,044;1,498;66,40625
0,045;1,498;66,894531
0,046;1,55;66,894531
0,047;1,602;66,40625
0,048;1,656;66,894531
0,049;1,712;66,894531
0,05;1,769;66,894531
0,051;1,769;67,382812
0,052;1,825;66,894531
0,053;1,88;67,382812
0,054;1,935;67,871094
0,055;1,989;67,382812
0,056;1,989;67,382812
0,057;2,044;67,871094
0,058;2,099;68,359375
0,059;2,153;68,359375
0,06;2,208;68,359375
0,061;2,266;68,359375
0,062;2,325;68,359375
0,063;2,37;69,335938
0,064;2,381;68,847656
0,065;2,438;68,847656
0,066;2,492;68,847656
0,067;2,547;69,335938
0,068;2,603;68,847656
0,069;2,635;70,3125
0,07;2,658;69,335938
0,071;2,716;69,335938
0,072;2,775;69,824219
0,073;2,835;69,824219
0,074;2,894;69,824219
0,075;2,939;69,824219
0,076;2,949;69,824219
0,077;3,005;70,3125
0,078;3,061;70,3125
0,079;3,12;70,3125
0,08;3,177;70,3125
0,081;3,236;70,3125
0,082;3,236;70,800781
0,083;3,295;70,800781
0,084;3,354;70,800781
0,085;3,415;70,800781
0,086;3,474;71,289062
0,087;3,474;71,289062
0,088;3,532;71,777344
0,089;3,589;71,289062
0,09;3,647;71,289062
0,091;3,706;71,777344
0,092;3,763;72,265625
0,093;3,794;71,777344
0,094;3,822;71,777344
0,095;3,882;71,777344
0,096;3,942;71,777344
0,097;4,002;72,265625
0,098;4,061;72,753906
0,099;4,061;72,265625
0,1;4,12;72,265625
0,101;4,179;73,242188
0,102;4,238;72,753906
0,103;4,299;72,753906
0,104;4,358;72,753906
0,105;4,358;72,753906
0,106;4,419;72,753906
0,107;4,479;73,730469
0,108;4,538;73,242188
0,109;4,597;73,242188
0,11;4,657;73,242188
0,111;4,657;73,242188
